,Unnamed: 0,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city,day,dist
0,0,23.800000000000008,64,1019,Sky is Clear,1435387651,1.0,0,Torino,2015-06-27 08:47:31,357
1,1,24.68000000000001,60,1018,Sky is Clear,1435390804,2.1,80,Torino,2015-06-27 09:40:04,357
2,2,25.120000000000005,60,1018,Sky is Clear,1435394206,2.6,50,Torino,2015-06-27 10:36:46,357
3,3,25.54000000000002,60,1018,Sky is Clear,1435398681,2.6,50,Torino,2015-06-27 11:51:21,357
4,4,27.420000000000016,57,1017,Sky is Clear,1435402112,2.1,70,Torino,2015-06-27 12:48:32,357
5,5,28.970000000000034,47,1017,Sky is Clear,1435405743,1.5,60,Torino,2015-06-27 13:49:03,357
6,6,29.36000000000001,45,1017,Sky is Clear,1435409402,1.5,360,Torino,2015-06-27 14:50:02,357
7,7,30.56,45,1015,Sky is Clear,1435416605,2.1,170,Torino,2015-06-27 16:50:05,357
8,8,31.04000000000002,48,1015,Sky is Clear,1435420220,1.0,0,Torino,2015-06-27 17:50:20,357
9,9,31.320000000000054,48,1014,Sky is Clear,1435423957,2.1,90,Torino,2015-06-27 18:52:37,357
10,10,30.69,48,1014,Sky is Clear,1435427586,2.1,50,Torino,2015-06-27 19:53:06,357
11,11,25.150000000000034,73,1015,Sky is Clear,1435438091,2.6,10,Torino,2015-06-27 22:48:11,357
12,12,24.570000000000054,73,1016,Sky is Clear,1435441890,3.1,340,Torino,2015-06-27 23:51:30,357
13,13,24.0,73,1016,Sky is Clear,1435445529,3.1,340,Torino,2015-06-28 00:52:09,357
14,14,22.19,77,1017,broken clouds,1435452880,2.1,340,Torino,2015-06-28 02:54:40,357
15,15,20.5,77,1017,broken clouds,1435456195,2.1,340,Torino,2015-06-28 03:49:55,357
16,16,18.94,77,1018,few clouds,1435459725,2.6,30,Torino,2015-06-28 04:48:45,357
17,17,19.07000000000005,77,1018,Sky is Clear,1435463493,2.1,360,Torino,2015-06-28 05:51:33,357
18,18,19.05000000000001,82,1018,Sky is Clear,1435466876,1.5,10,Torino,2015-06-28 06:47:56,357
19,19,21.20000000000005,82,1018,Sky is Clear,1435470573,1.0,40,Torino,2015-06-28 07:49:33,357
